no,クリア個数,初期線の数,緑ゴール数,三角ゴール数,バツゴール数,ボールの速さ（多いほど速い）,同時にあるボール個数,カラー,energy線,spike線,ワープ線,カラー線,onoff線,移動線,FAST線,ONLY線,スロー線,分裂線,重力反転線,総ボール数,ミス許容数,ゴール回転,制限時間,ギミック,description
46,3,4,2,1,2,1.17,2,,,,,,,1,,,2,,,8,2,あり,なし,"moving/slow","動くスローモーション。ゆっくり揺れる線をたどる旅"
47,3,6,1,2,2,1.18,3,,,,,,1,,,,2,,,6,2,あり,なし,"blink/slow","消えゆくスロー線。見えない減速ポイント"
48,3,9,2,1,2,1.18,1,,,2,,,,,3,,3,,,8,2,あり,なし,"speedUp/slow/penalty","スピード＆スロー・トラップ。緩急とスパイクのコンボ"
49,3,8,2,1,2,1.19,2,,,,,,,,3,,2,,,8,2,あり,なし,"speedUp/slow/system","緩急の迷路.加速と減速を駆使してゴールへ導け"
50,3,3,2,1,2,1.20,3,,,1,,,,,1,,1,,,7,1,あり,なし,"speedUp/slow/moving/blink/penalty","スピードマスターの試練。加速と減速、そして動と静の融合"
51,5,3,1,2,2,1.21,1,,,,1,,,,,,,,,10,1,あり,なし,"warp","ワープ線が登場！隣ではないレーンへ瞬間移動"
52,5,6,2,1,2,1.22,2,,,,1,,,,1,,,,,9,1,あり,なし,"warp/system","どこに繋がっている？ワープの繋がりを見極めろ"
53,5,10,2,1,2,1.22,3,,,3,1,,,,,,,,,10,1,あり,なし,"warp/penalty","ワープと罠。ワープした直後の罠をかいくぐれ"
54,5,8,2,1,2,1.23,1,,,,1,,,,3,,,,,8,1,あり,なし,"warp/speedUp","ワープからの急加速。ジャンプした瞬間超高速になる爽快感"
55,5,9,1,2,2,1.24,2,,,1,1,,,3,,,,,,9,1,あり,なし,"warp/moving","動くワープ道。動き続けるポータルにボールを滑り込ませろ"
56,5,9,2,1,2,1.25,3,,,,1,,2,,1,,,,,8,1,あり,なし,"warp/blink","消えるワープポイント。タイミングを合わせて跳躍せよ"
57,5,5,2,1,2,1.26,1,,,,1,,,,1,,,,,9,1,あり,なし,"warp/system","空間跳躍の迷路。ワープだらけの不思議なあみだ"
58,5,2,2,1,2,1.26,2,,,,,,,,,,,1,,10,1,あり,なし,"split","分裂線が登場！元のボールが曲がり、新しいボールが直進する"
59,5,4,1,2,2,1.27,3,,,,,,,,,,,3,,8,1,あり,なし,"split","分裂するアミダ。ボールを2つ同時にゴールへ導く最初の試練"
60,5,10,2,1,2,1.28,1,,,,1,,,,1,,,3,,8,1,あり,なし,"warp/split","分裂とワープのシンフォニー。分裂した瞬間にワープへ突入！"
61,5,8,2,1,2,1.29,2,,,,,,,3,,,,3,,8,1,あり,なし,"moving/split","揺れながら分裂する道。動く分裂線を乗りこなせ"
62,5,4,2,1,2,1.30,3,,,,,,,,,,,2,,9,1,あり,なし,"blink/split","消える分裂線。点滅する分裂線のタイミングを見計らえ"
63,5,7,1,2,2,1.30,1,,,,,,,,3,,,3,,9,1,あり,なし,"speedUp/split","分裂加速カオス。2つに増えたボールが一気に加速！"
64,5,8,2,1,2,1.31,2,,,2,,,,,,,,3,,10,1,あり,なし,"split/penalty","分裂する罠。増えたボールがスパイクに突っ込む恐怖"
65,5,7,2,1,2,1.32,3,,,,1,,,1,1,,,2,,10,1,あり,なし,"warp/split/moving/blink/penalty","空間の支配者の試練。ワープと分裂が交差する超難関"
66,5,2,2,1,2,1.33,1,,,,,,,,,赤1,,,,10,1,あり,なし,"colorFilter","カラーフィルターが登場！同じ色のボールしか通れない壁"
67,5,6,1,2,2,1.34,2,,,,,,,,,青2赤1,,,,10,1,あり,なし,"colorFilter/system","色を分けて進もう。赤と青のボールを正しいルートへ"
68,5,6,2,1,2,1.34,3,,,3,,,,,,青1赤1,,,,10,1,あり,なし,"colorFilter/penalty","色の壁と罠。フィルターでスパイクを回避するテクニック"
69,5,10,2,1,2,1.35,1,,,,,,,,3,赤1青2,,,,9,1,あり,なし,"colorFilter/speedUp","自分の色の加速線。特定の色だけがスピードアップ"
70,5,7,2,1,2,1.36,2,,,,,,,3,,赤3,,,,8,1,あり,なし,"colorFilter/moving","動く色の道。動きながらボールの色をソートする"
71,5,5,1,2,2,1.37,3,,,,,,2,,,青2,,,,9,1,あり,なし,"colorFilter/blink","色付きの点滅道。色と点滅の複合パズル"
72,5,10,2,1,2,1.38,1,,,1,1,,,,,赤2青1,,,,8,1,あり,なし,"colorFilter/warp","ワープとカラー。ワープした先で色がどう変わる？"
73,5,2,2,1,2,1.38,2,,,,,,,,,,,,1,8,1,あり,なし,"reverse","重力反転線が登場！3秒間、ボールが上空へ向けて逆行する"
74,5,8,2,1,2,1.39,3,,,,,,,,,,,,3,9,1,あり,なし,"reverse","上昇とバウンド。天井にぶつかってバウンドし、新たな道へ"
75,5,8,1,2,2,1.40,1,,,,,,,,,赤2青1,,,3,10,1,あり,なし,"reverse/colorFilter","重力反転カラーチェンジ。上昇しながら色が切り替わる"
76,5,8,2,1,2,1.41,2,,,,,,,3,,,,,3,8,1,あり,なし,"moving/reverse","動く重力反転線。動き回る重力反転エリア"
77,5,4,2,1,2,1.42,3,,,,,,2,,,,,,1,8,1,あり,なし,"blink/reverse","消える逆走ルート。点滅する重力反転を見極めろ"
78,5,9,2,1,2,1.42,1,,,,,,,,2,,,,3,9,1,あり,なし,"speedUp/reverse","重力反転と加速の融合。上昇した後に一気に高速落下！"
79,5,8,1,2,2,1.43,2,,,3,,,,,,,,,3,9,1,あり,なし,"reverse/penalty","天井バウンドトラップ。逆走した先で待ち構えるスパイク"
80,5,8,2,1,2,1.44,3,,,1,,,1,1,,,,,3,9,1,あり,60秒,"reverse/colorFilter/moving/blink/penalty","重力と色彩の試練。Tier 6の終わりを飾る色彩重力パズル"
81,5,6,2,1,2,1.45,1,赤青,,,1,,,,1,,,3,,10,1,あり,60秒,"speedUp/split/warp","加速、分裂、ワープが同時に牙をむく高速多重アミダ"
82,5,9,2,1,2,1.46,2,赤青,,,,,3,,,赤1青1,,,2,8,1,あり,60秒,"colorFilter/reverse/blink","色彩と重力と消える道。すべての要素が絡み合う"
83,5,8,1,2,2,1.46,3,赤青,,,,,,2,3,,2,,,9,1,あり,60秒,"moving/slow/speedUp","動く緩急のラビリンス。動きながら加速とスローが切り替わる"
84,5,9,2,1,2,1.47,1,赤青,,,,,,,,,,3,2,9,1,あり,60秒,"reverse/split","逆走と分裂の混沌。ボールが増えながら上に引き戻される！"
85,5,5,2,1,2,1.48,2,赤青,,1,1,,,,,,,2,,9,1,あり,60秒,"colorFilter/warp/split","全カラーギミック大作戦。分裂したカラーボールを完璧にソートせよ"
86,7,5,2,1,2,1.49,3,赤青,,,,,,,,,1,2,1,12,1,あり,60秒,"system/slow/split/reverse","限界の迷路。新旧ギミックがぎっしり詰まった高難度"
87,7,10,1,2,2,1.50,1,赤青,,,,,,3,,,,3,,11,1,あり,60秒,"moving/split","動くギミックと分裂の嵐。動きを読み切れ"
88,7,8,2,1,2,1.50,2,赤青,,,,,3,,,,,,3,10,1,あり,60秒,"blink/reverse","点滅ギミックと重力反転の闇。記憶を頼りに逆走させろ"
89,7,5,2,1,2,1.51,3,赤青,,,,,,,3,,2,,,11,1,あり,60秒,"speedUp/slow","加速と減速の限界。超スピードと超スローの融合"
90,7,5,2,1,2,1.52,1,赤青,,1,1,,,,,,,2,,11,1,あり,60秒,"warp/split","ワープと分裂の果て。無数にワープする分裂クローン"
91,7,8,1,2,2,1.53,2,赤青,,,,,,,3,,3,,,11,1,あり,60秒,"slow/speedUp","スロー中の減速ボールを、後続の高速ボールが追い抜く時間差の極限"
92,7,5,2,1,2,1.54,3,赤青,,,,,,,,,,3,,11,1,あり,60秒,"split/system","左右に配置された分裂線で、ボールが連鎖分裂するピンボールアミダ"
93,7,9,2,1,2,1.54,1,赤青,,,,,,,,,,,3,12,1,あり,60秒,"reverse/system","最下部で反転し、天井バウンドから別の長いルートへ引き戻すスリル"
94,7,8,2,1,2,1.55,2,赤青,,,,,,,2,,1,,3,10,1,あり,60秒,"slow/speedUp/reverse","スローで時間を稼ぎ、重力反転で上に持ち上げ、加速で一気に落とすコンボ"
95,7,8,1,2,2,1.56,3,赤青,,,,,,,,,1,3,2,12,1,あり,60秒,"slow/split/reverse","3つの新ギミックが完全に融合した、究極の戦略アミダ"
96,7,9,2,1,2,1.57,1,赤青,,1,1,,,,,青1赤1,,3,,11,1,あり,60秒,"colorFilter/warp/split","色彩と空間の支配者。カラーソートとワープ、分裂の集大成"
97,7,7,2,1,2,1.58,2,赤青,,,1,,,,2,,1,2,1,10,1,あり,60秒,"bonus/penalty/moving/blink/speedUp/warp/colorFilter/slow/split/reverse","全ギミックが配置された、混沌と秩序が織りなす大迷宮"
98,7,10,2,1,2,1.58,3,赤青,,1,1,,,1,1,,1,2,1,12,1,あり,60秒,"bonus/penalty/moving/blink/speedUp/warp/colorFilter/slow/split/reverse","あなたのテクニックの限界に挑む。ノーミスでクリアできるか"
99,7,7,1,2,2,1.59,1,赤青,,,1,,,,2,,1,2,1,10,1,あり,60秒,"bonus/penalty/moving/blink/speedUp/warp/colorFilter/slow/split/reverse","アミダマスターへ送る、難攻不落の最終難関"
100,7,7,2,1,2,1.60,2,赤青,,1,1,,,,1,,1,2,1,10,1,あり,60秒,"bonus/penalty/moving/blink/speedUp/warp/colorFilter/slow/split/reverse","これが本当の終わり。すべての力を出し切り、伝説のマスターへ"
